"YEAR","AREA","/ITEMS","I530102_Number of general hospitals by department (Respiratory)[number of hospitals]","Annotation"
"2000","Tottori-ken","","3",""
"2000","Shimane-ken","","7",""
"2000","Okayama-ken","","39",""
"2000","Hiroshima-ken","","43",""
"2000","Yamaguchi-ken","","45",""
"2000","Tokushima-ken","","38",""
"2000","Kagawa-ken","","31",""
"2000","Ehime-ken","","35",""
"2000","Kochi-ken","","63",""
"2000","Fukuoka-ken","","149",""
"2000","Saga-ken","","34",""
"2000","Nagasaki-ken","","51",""
"2000","Kumamoto-ken","","78",""
"2000","Oita-ken","","56",""
"2000","Miyazaki-ken","","34",""
"2000","Kagoshima-ken","","64",""
"2000","Okinawa-ken","","34",""
"1999","All Japan","","2,278",""
"1999","Hokkaido","","130",""
"1999","Aomori-ken","","27",""
"1999","Iwate-ken","","26",""
"1999","Miyagi-ken","","35",""
"1999","Akita-ken","","23",""
"1999","Yamagata-ken","","10",""
"1999","Fukushima-ken","","50",""
"1999","Ibaraki-ken","","64",""
"1999","Tochigi-ken","","33",""
"1999","Gumma-ken","","31",""
"1999","Saitama-ken","","80",""
"1999","Chiba-ken","","79",""
"1999","Tokyo-to","","130",""
"1999","Kanagawa-ken","","91",""
"1999","Niigata-ken","","20",""
"1999","Toyama-ken","","16",""
"1999","Ishikawa-ken","","33",""
"1999","Fukui-ken","","40",""
"1999","Yamanashi-ken","","14",""
"1999","Nagano-ken","","36",""
"1999","Gifu-ken","","31",""
"1999","Shizuoka-ken","","37",""
"1999","Aichi-ken","","99",""
"1999","Mie-ken","","17",""
"1999","Shiga-ken","","19",""
"1999","Kyoto-fu","","66",""
"1999","Osaka-fu","","116",""
"1999","Hyogo-ken","","77",""
"1999","Nara-ken","","16",""
"1999","Wakayama-ken","","26",""
"1999","Tottori-ken","","4",""
"1999","Shimane-ken","","8",""
"1999","Okayama-ken","","41",""
"1999","Hiroshima-ken","","41",""
"1999","Yamaguchi-ken","","45",""
"1999","Tokushima-ken","","42",""
"1999","Kagawa-ken","","30",""
"1999","Ehime-ken","","35",""
"1999","Kochi-ken","","63",""
"1999","Fukuoka-ken","","150",""
